,postId,comment,score,topic
0,af1ce6ec055c11eb9fcc646e69d991ea,"نهار الاربعاء الماضي قرر الرجل القوي فوزي لقجع ان تنقل كل قناة مبارة من البطولة على الساعة 8h مساء (الاولى,الرياضية,الامازيغية,افلام,قناة العيون,المغربية) فتم ذلك,هل قنوات الشعب صارت ملكا للقجع?هل مفروض علينا ان نحب كرة لقجع?هل لقجع اقوى من مدير التلفزة ووزير الاتصال? مر رجال اقوياء على رئاسة الجامعة كالجنرال بنسليمان ومهدي بلمجدوب والشيء الوحيد كان يبث على جميع القنوات هو خطاب الملك",-34,sport
1,af1ce6ec055c11eb9fcc646e69d991ea,"كثرة المنتخبات وكثرة المدربين بلا نتيجة. لقب إفريقي واحد يتيم للفريق الوطني منذ العصر الطباشيري. لدينا بطولة احترافية ولدينا أندية صراحةً ترفع رؤوسنا عاليا في المحافل الإفريقية ويكفينا ذلك فخراً.
لدينا رجاء عالمي حلق عالياً سنة 2013،وسيحلق بإذن الله.
لدينا وداد أمة لطالما كشف عنا الغمة وعرى الفساد والمفسدين في القارة وسينتصر هو الآخر بإذن الرحمن. 
لدينا غزالة سوس حسنية أكادير الذي أحرج فريق مرتضى منصور وكان قاب قوسين أو أدنى من تحقيق انتصار تاريخي من بلاد الفراعنة لولا ظلم تحكيمي أمام الأنظار. 
لدينا نهضة بركان الذي يحصد الأخضر واليابس وصار مرعباً من أعتد الفرق في القارة ككل يضرب له ألف حساب.
لدينا القرش المسفيوي الذي خلق مفاجأة مدوية وأطاح بالترشي في عقر داره في بطولة ملك البلاد المفدى. 
نعم، لدينا فرق وأندية لكننا محرومون من منتخب يرفع الراية عالياً كما ترفعها الأندية الوطنية...",30,sport
2,af1ce6ec055c11eb9fcc646e69d991ea,احيي الاخ طاطا على هذه الروح الرياضية و الروح الوطنية، فقد ذكر عدد من الفرق الوطنية بكل احترام و بدون تحيز. هذه هي الجماهير الرياضية الحقة. لا باس من حب و انتماء لفريق معين لكن تبقى الروح الرياضية و احترام الفرق الاخرى و حب اللعب الجميل بغض النظر عن الفريق الذي يقدمه. شكرا,16,sport
3,af1ce6ec055c11eb9fcc646e69d991ea,منتخبات بمدربين و اطر تستنزف ميزانية ضخمة ،و بدون اي ألقاب... هادو زيدوهم على الفنانين اللي كلاو الدعم و لم يقدموا اي شيء,17,sport
4,afffccd4055c11eb9d42646e69d991ea,و ماذا عن منير الحداد هل يحق له أم لا اللعب مع المنتخب المغربي ؟ و ماذا عن حقيقة مراسلة الفيفا للمغرب تبلغه فيها بعدم السماح لمنير الالتحاق بالمنتخب المغربي و هو يتوفر على جميع الشروط لذلك بناء على التعديلات الأخيرة للالتحاق اللاعبين بمنتخبات بلادهم التي يريدون اللعب لها,-1,sport
5,b0e1a962055c11ebb4fd646e69d991ea,شكرا على هذه المبادرة الطيبة وهذه الاخلاق الكريمة من طرف الجامعة الملكية المغربية للكراطي وأ.م و على رئسها السيد محمد مقتابل وماهي ببعيد عن اهل طَيبة الطيبة.,4,sport
6,b0e1a962055c11ebb4fd646e69d991ea,السلام عليكم ورحمة الله وبركاته باراكا من التخاريف حتى جمعتو فلوس الامتحانات عاد بأن ليكم دعموا الجمعيات راه فرشتوا راسكم بداك الامتحان عن بعد طيحتوا النيفو بزاف المهم ينجح كلشي باش كلشي يخلص اكثر من 1000 درهم وإلى كانت كل جمعية غدا تقدم غير 5 ديال الممتحنين رآها غدا تربح أضعاف مضاعفة من داكشي لي غادا تعطي ياكماكتحبلكم انكم تعطونا صدقة راه لولانا لما كانت الجامعة فليكن في علمكم معكم بطل صابق في الكراطي وضاءع ءوسسس,-2,sport
7,b1c552ac055c11eb8c48646e69d991ea,حمل القميص الوطني شرف لا يمنح إلا لمن يقدره، اقول لحمد الله سيكون لك أو لك أبناء لا أعرف كيف ستفسر لهم تعنتك ورفضك حمل قميص حلم به وحمله من هم أجدر منك واقدر، للوطن عليك حق ولا تنسى أن النادي يضل ناديا سيستهلكك كما استهلك غيرك.,66,sport
8,b1c552ac055c11eb8c48646e69d991ea,هناك اسباب لا تريد هدا العب أن يلعب مع الفريق الوطني هل لأنه محترف سعودي أم لأنه مغربي محترف,-120,sport
9,b1c552ac055c11eb8c48646e69d991ea,"حمد لله أعتقد أنه ضيع نفسه واقبر تاريخه يمكن أن يفتخر بها أولاده أو عشيرته
أما المنتخب الوطني فلا حاجة له به لعب حمد ام لم يالعب لا يضر ولا ينفع
ولاكن الضرر على اللعب الدي جاءته فرصة وضعيها
هده الحقيقة التاريخية سيندم عليها",34,sport
