,id,title,date,author,story,topic
0,9d9ebd0204f811eb92ec646e69d991ea,"شهادة طبيب جراح ""تورط"" قنصلا بتر أصبع مسنة",الجمعة 02 أكتوبر 2020 - 20:08,هسبريس من الدار البيضاء,"قررت الغرفة الجنائية بمحكمة الاستئناف بمدينة الدار البيضاء مواصلة مناقشة قضية القنصل الفخري لدولة غينيا بيساو، الذي يتابع فيها بعد إقدامه على قضم أصبع اليد اليمنى لسيدة في بداية العقد السادس من عمرها، في الأسبوع الأخير من شهر نونبر القادم.واستمع رئيس الجلسة إلى شهادة طبيب جراح بمدينة الدار البيضاء، أشرف على علاج السيدة المسنة، ضحية القنصل، والذي أكد أنه اضطر لإجراء مجموعة من التدخلات الجراحية، بعد أن تسببت عضة القنصل الفخري في إتلاف أصبع السبابة للسيدة وعضلاته، قبل أن يقرر بتره بسبب تفشي جراثيم معدية ناجمة عن الحادث، خوفا من انتقال التقرحات إلى اليد بكاملها.وقال الطبيب الجراح في شهادته أمام القضاة: ""أجرينا مجموعة من التحاليل والاختبارات، وتبين أن العضة كان قوية إلى درجة أتلفت عصبا وعضلات حيوية في الأصبع، الذي كان في حالة يرثى لها"".ويتابع القنصل الفخري الحامل للجنسية المصرية، حسب مصدر قضائي بمحكمة الاستئناف بمدينة الدار البيضاء، في قضية خطيرة تتعلق ببتر أصبع ضحية بأسنانه بشكل بشع، وهو ما دفع النيابة العامة إلى فتح تحقيق في الموضوع، بعد أن تم الحصول على دلائل تؤكد هذه الواقعة.ويتابع القنصل الفخري، الذي صدر في حقه قرار بالمنع من الدخول إلى دولة خليجية قبل ثلاث سنوات، بتهم تتعلق بتبديد محجوز صدر فيه حكم قضائي نافذ، وقضايا أخرى تتعلق بمنازعات تجارية، وممارسة العنف الجسدي ضد الأغيار.",faits-divers
1,9e96ecc604f811eb836a646e69d991ea,"إحباط تهريب أكثر من طن من ""الحشيش"" بأكادير",الجمعة 02 أكتوبر 2020 - 19:37,رشيد بيجيكن من أكادير,"تمكنت المصلحة الولائية للشرطة القضائية بمدينة أكادير، على ضوء معلومات دقيقة وفرتها مصالح المديرية العامة لمراقبة التراب الوطني، زوال الجمعة، من إحباط محاولة تهريب طن و100 كيلوغرام من مخدر الشيرا كانت على متن شاحنة للنقل الطرقي للبضائع.وأورد مصدر أمني أن العملية الأمنية أسفرت عن ضبط الشاحنة التي كانت قادمة من إحدى مدن شمال المملكة بمنطقة ""أمسكرود""، شمالي مدينة أكادير، بتنسيق مع مصالح الدرك الملكي؛ فضلا عن توقيف سائقها ومرافقه، وهما شقيقان يبلغان من العمر 48 و56 سنة.وأضاف المصدر ذاته أن إجراءات التفتيش مكّنت من ضبط 40 رزمة من مخدر الشيرا، بلغ وزنها الإجمالي طنا و100 كيلوغرام، مخبأة بشكل محكم ضمن شحنة من التبن.وجرى الاحتفاظ بالمشتبه فيهما تحت تدبير الحراسة النظرية، رهن إشارة البحث الذي تشرف عليه النيابة العامة المختصة، في حين مازالت عمليات البحث والتحري جارية لتوقيف باقي المتورطين الرئيسيين، وكذا المشاركين في ارتكاب هذه الأفعال الإجرامية.يُشار إلى أن هذه العملية الأمنية النوعية تندرج في سياق الجهود المكثفة والمتواصلة التي تبذلها مختلف المصالح الأمنية لمكافحة ظاهرة الاتجار بالمخدرات والمؤثرات العقلية.",faits-divers
2,9fc1ec4204f811eb8619646e69d991ea,كمين أمن الصويرة يسقط شبكة هجرة غير نظامية,الجمعة 02 أكتوبر 2020 - 18:35,ابراهيم مغراوي من مراكش,أوقفت عناصر فرقة الشرطة القضائية بالمنطقة الإقليمية للأمن بمدينة الصويرة، الخميس، ثلاثة أشخاص يشتبه في ارتباطهم بشبكة إجرامية تنشط في تنظيم الهجرة غير المشروعة والاتجار بالبشر.وتمكنت العناصر الأمنية خلال هذه العملية من توقيف المشتبه فيه الرئيسي الذي كان يشكل موضوع عدة مذكرات بحث على الصعيد الوطني، من طرف مصالح الشرطة القضائية بالدار البيضاء وأكادير، من أجل تنظيم الهجرة غير المشروعة.وإثر ذلك أسفرت الأبحاث والتحريات المنجزة من طرف فرقة الشرطة القضائية بالمنطقة الإقليمية للأمن بالصويرة عن توقيف باقي المشتبه فيهم، متلبسين بإيواء ومحاولة تهجير 22 مرشحا للهجرة السرية.وتم إيداع المشتبه فيهم الثلاثة الذين تتراوح أعمارهم ما بين 28 و37 سنة تحت تدبير الحراسة النظرية؛ فيما تم إخضاع المرشحين للهجرة غير المشروعة لإجراءات البحث التمهيدي، الذي يجرى تحت إشراف النيابة العامة المختصة، لكشف جميع ظروف وملابسات هذه القضية.,faits-divers
3,a0a2fa9c04f811eb8580646e69d991ea,"""تلميذة زاكورة"" تتهم زوج أختها باستغلالها جنسيا",الجمعة 02 أكتوبر 2020 - 14:20,هسبريس من زاكورة,"كشف مصدر أمني مسؤول أن التلميذة المتحدرة من جماعة تنزولين، بإقليم زاكورة، التي تتهم زوج والدتها بالاعتداء الجنسي عليها، اعترفت لعناصر الدرك الملكي أثناء الاستماع إليها في محضر رسمي بأن ""زوج شقيقتها أيضا يستغلها جنسيا"".وأوضح المصدر ذاته، في تصريح لهسبريس، أن التلميذة التي تتابع دراستها بالمستوى الثالث ابتدائي بإحدى مدارس الجماعة المذكورة، سيتم إخضاعها للخبرة الطبية، بأمر من الوكيل العام للملك لدى محكمة الاستئناف بورزازات.وأضاف المصدر الأمني، في معلومات حصرية وفرها لهسبريس، أن عناصر الدرك الملكي المكلفة بالقضية وضعت ""زوج الأم"" و""زوج الأخت"" المشتبه فيهما رهن تدابير الحراسة النظرية، من أجل تعميق البحث معهما ومعرفة ملابسات القضية.وسيتم تقديم المشتبه فيهما، بعد الانتهاء من التحقيقات التي تباشرها عناصر الدرك الملكي، على أنظار العدالة من أجل ما نسب إليهما قصد اتخاذ الإجراءات اللازمة في حقهما.",faits-divers
4,a2d0124a04f811eba88f646e69d991ea,"""أحجار كريمة مزيفة"" تورط أشخاصا بمدينة أكادير",الجمعة 02 أكتوبر 2020 - 10:05,رشيد بيجيكن من أكادير,تمكنت عناصر المصلحة الولائية للشرطة القضائية بمدينة أكادير، الأربعاء، من توقيف ثلاثة أشخاص، وذلك للاشتباه في ارتباطهم بشبكة إجرامية متخصصة في النصب والاحتيال.وأورد مصدر أمني أنه جرى توقيف المشتبه فيهم إثر كمين محكم تم نصبه من طرف العناصر الشرطية، وذلك على خلفية الاشتباه في تورط المعنيين بالأمر في عرض مجموعة من الأحجار للبيع على أساس أنها أحجار كريمة ومخلفات نيازك.وأضاف المصدر ذاته أن عملية التفتيش التي أنجزت في إطار هذه العملية أسفرت عن حجز كمية من الأحجار العادية يتم استخدامها في عملية النصب على الضحايا.وتم الاحتفاظ بالمشتبه فيهم الثلاثة تحت الحراسة النظرية رهن إشارة البحث الذي تشرف عليه النيابة العامة المختصة، وذلك للكشف عن جميع ملابسات القضية وامتداداتها المحتملة.,faits-divers
5,a3d2b53604f811ebadc1646e69d991ea,"تلميذة تتهم ""زوج"" أمها بالاعتداء الجنسي بزاكورة",الجمعة 02 أكتوبر 2020 - 09:03,هسبريس من زاكورة,"أفادت مصادر هسبريس بأن الوكيل العام للملك لدى محكمة الاستئناف بورزازات أمر الضابطة القضائية للدرك الملكي بسرية زاكورة، زوال الخميس، بفتح تحقيق في ادعاءات تلميذة بالمستوى الثالث ابتدائي حول ""تعرضها لاعتداء جنسي من طرف زوج والدتها"".وحسب المعلومات التي وفرتها المصادر نفسها، فإن التلميذة التي تنحدر من جماعة تنزولين، بإقليم زاكورة، صرحت لأستاذتها بأنها تعرضت لاعتداء جنسي على يد زوج والدتها، بعد أن ظهرت عليها علامات الخوف والإعياء.وأضافت المصادر أن الأستاذة أخبرت إدارة المؤسسة التي بدورها أخبرت النيابة الإقليمية للتعليم بزاكورة، لتتم مراسلة الوكيل العام للملك الذي أمر الدرك الملكي بسرية زاكورة بالانتقال إلى المؤسسة التعليمية والاستماع إلى التلميذة ووالدتها والشخص الذي تتهمه.معطيات حصرية توصلت بها هسبريس من مصادر مطلعة أفادت بأن التلميذة الضحية تشبثت بأقوالها أثناء الاستماع إليها، وأكدت أن زوج والدتها يستغلها جنسيا ويعرضها لممارسات لا أخلاقية، مضيفة أن عناصر الدرك الملكي المكلفة بالقضية ستستمع إلى الطفلة الضحية في محضر رسمي، وإلى والدتها و""المشتبه فيه""، من أجل التأكد من صحة ادعاءات التلميذة، واتخاذ الإجراءات القانونية اللازمة.وتأتي هذه الواقعة بعد أيام على العثور على جثة الطفلة نعيمة التي راحت ضحية جريمة شنعاء، بعد 41 يوما من اختفائها، بينما ما يزال البحث جاريا مع بعض المشتبه فيهم من أجل الوصول إلى حقيقة اختفائها ووفاتها.",faits-divers
6,a4fd249404f811eb86dc646e69d991ea,"مريض يشكو آلام السرطان و""طرد"" مشفى بأكادير",الجمعة 02 أكتوبر 2020 - 06:03,رشيد بيجيكن من أكادير,"دقت جمعية ""أياد نظيفة ضد الفساد"" بمدينة إنزكان ناقوس الخطر إزاء الوضع الصحي الحرج جدّا لمواطن مغربي، يقطن بالمدينة ذاتها، وذلك نتيجة مضاعفات مرض السرطان الذي أصاب منطقة حساسة من جسده، وألزمه الفراش مع غياب أي قدرة على الحركة، إذ يواصل المرض الخبيث تعذيبه، لاسيما بعد بروز تعفنات وتقيحات نجمت عنها روائح نتنة.المواطن سعيد التوبالي، الذي يعيش وحيدا وبدون مُعيل، ويقطن بمنزل على سبيل الكراء في مدينة إنزكان، أضحى وضعه الصحي مقلقا، لاسيما في غياب أي التفاتة من أجل إحالته على مؤسسة استشفائية متخصصة في معالجة السرطان، باستثناء مبادرة جمعية ""أياد نظيفة ضد الفساد""، التي تحاول متابعة ملفه والتكفل به، بمساعدة بعض المحسنين، بعد أن تم طرده من مستشفى بأكادير، على حدّ تعبير رئيس الجمعية، عبد العزيز القنفود.وفي هذا الصدد، يقول رئيس الجمعية إن ""هذا المواطن المغربي، الذي يعاني من مرض السرطان، طرد سنة 2019 من مستشفى بأكادير، أكثر من مرة، ثم بعد ذلك أرغم على مغادرة المركز الجهوي للأنكولوجيا، رغم أن حالته المرضية جد صعبة وتستدعي عناية طبية خاصة بالمستشفى"".وعن حالة المريض، أضاف المحامي عبد العزيز القنفود، رئيس الجمعية، أنه ""يتألم ويئن، بل يصرخ باستمرار من شدة الألم، ناهيك عن تعفنات بمنطقة حساسة من جسده، تتسبّب في انتشار روائح كريهة جدا، يصعب معها، بل يستحيل، الوقوف بجانبه""، وزاد: ""هو يحتاج إلى كل شيء، لكن لا حياة لمن تُنادي"".وفي المقابل، وبصفته محاميا، ارتأى رئيس جمعية ""أياد نظيفة ضد الفساد"" توجيه رسائل إنذار إلى عدد من المسؤولين بقطاع الصحة بأكادير، تتوفر عليها جريدة هسبريس، شدّد من خلالها على تحريك المتابعة القضائية ضدهم؛ وذلك لكون ""مؤسستكم امتنعت عن تقديم العلاج والعناية الطبية بالمريض، الذي يوجد في وضعية جد خطيرة وحرجة، قد تترتب عنها وفاته في حالة عدم التدخّل"".واعتبرت المراسلات ذاتها أن ""إجبار المريض على مغادرة المستشفى يُخالف قرار وزير الصحة رقم 456.11 في شأن النظام الداخلي للمستشفيات، لاسيما المادة 74 التي تمنع ترحيل أي شخص خارج المستشفى إذا كانت حالته الصحية مستفحلة، مع العلم أنه أخبر المسؤولين أنه بدون مأوى ولا أهل ولا مورد عيش ولا معيل"".وفي معرض رده على الاتهامات الموجهة إلى مركز الأنكولوجيا بأكادير، نفى مديره، عزيز مارس، أن يتم ""طرد أي مواطن قصَد هذه المؤسسة العلاجية""، مبرزا أن ""تقريرا طبيا تم إعداده بهذا الخصوص، وهو يكشف إخضاع المريض لـ33 حصة علاج بالأشعة و4 حصص للعلاج الكيميائي، كلها مجانية، إذ تم التكفل به طبيا واجتماعيا، كما زار المؤسسة منتصف الشهر الجاري، وهو في حالة جد متقدمة من السرطان"".",faits-divers
7,a61e3bc004f811eb9731646e69d991ea,"الدرك الملكي يتصدى لترويج ""ماء الحياة"" بتادلة",الجمعة 02 أكتوبر 2020 - 05:15,حميد رزقي,"تمكّنت عناصر الدرك الملكي بالمركز الترابي قصبة تادلة، بإقليم بني ملال، مساء الأربعاء، من إحباط عملية توزيع كمية مُهمة من مسكر ""الماحيا"" القابل للبيع والترويج، على مستوى حدود جماعة أولاد يوسف ومركز أولاد علي التابع لجماعة البرادية.وذكرت مصادر هسبريس أن عملية تفتيش أجرتها دورية للدرك الملكي بقصبة تادلة لسيارة خفيفة متنقلة من نواحي وادي زم في اتجاه منطقة قصبة تادلة وإغرم العلام، على الطريق الرئيسية رقم 3811 الرابطة بين مركزي أولاد اسعيد الواد وأولاد علي الواد بتراب جماعة البرادية، أسفرت عن حجز 600 لتر من مسكر ""الماحيا"" كانت معدة للبيع.وأضافت المصادر ذاتها أن عناصر الدورية، التي كان يشرف عليها رئيس المركز، حجزت السيارة وأوقفت مساعد السائق؛ فيما تمكن المشتبه فيه الرئيسي، الذي جرى تحديد هويته ويُعد من ذوي السوابق العدلية، من الفرار مستغلا ظروف المنطقة.وتندرج هذه العملية، التي لا يزال البحث جاريا بشأنها بتعليمات من النيابة العامة بقصبة تادلة، في إطار الجهود التي تبذلها عناصر الدرك الملكي بقصبة تادلة بتنسيق مع القيادة الإقليمية للحد من ترويج السموم بمختلف أنواعها بالمنطقة.",faits-divers
8,a723b20004f811eb9fab646e69d991ea,"""دعارة التدليك"" تسقط 4 أشخاص بمدينة مراكش",الجمعة 02 أكتوبر 2020 - 03:06,ابراهيم مغراوي من مراكش,أوقفت فرقة من ولاية أمن مراكش، الأربعاء، بوكر معد للدعارة تحت ستار تقديم خدمات التدليك والاستحمام البخاري، 4 أشخاص في حالة تلبس بممارسة الفساد والتحريض عليه.وتمكنت العناصر الأمنية في هذه العملية من توقيف صاحبة الشقة ومومستين وزبون، وأخضعتهم، بتنسيق مع النيابة العامة المختصة، لتدابير الحراسة النظرية لتعميق البحث.ويأتي هذا التدخل الأمني لشرطة مراكش في إطار مراقبة الأنشطة المشبوهة لبعض المحلات التي تتخذ من نشاطها التجاري ستارا لممارسات مخالفة للقانون.,faits-divers
9,a824ddb404f811eb8815646e69d991ea,توقيف مشتبه فيه بقتل أربعيني نواحي العرائش,الخميس 01 أكتوبر 2020 - 21:15,هسبريس من الرباط,"تمكنت عناصر المركز الترابي للدرك الملكي بني كرفط، التابع لسرية العرائش، صباح الخميس، من توقيف شاب يبلغ من العمر 22 سنة، وذلك للاشتباه في تورطه في جريمة قتل وقعت الليلة الماضية بدوار تاول بجماعة زعرورة.وأوضحت مصادر هسبريس أن الضحية ""ف.ب""، البالغ من العمر 44 سنة، تلقى الليلة الماضية وهو خارج من محل تجاري بالدوار نفسه (تلقى) طعنة سكين على مستوى القلب على يد المشتبه فيه ""م.ش""، وتوفي على الفور.وأضافت المصادر نفسها أن العناصر الأمنية فور إشعارها بالنازلة، انتقلت إلى مكان الجريمة وفتحت تحقيقا لمعرفة ملابساتها، وأطلقت حملة واسعة بالاستعانة بالكلاب المدربة وبتنسيق مع السلطة المحلية والساكنة للبحث عن المشتبه فيه.وتم تحديد مكان اختباء المشتبه فيه وتوقيفه ونقله إلى مركز الدرك الملكي من أجل تعميق البحث معه.وبينما مازالت أسباب الجريمة مجهولة إلى حدود الساعة، ترجح مصادر مقربة من القضية أن تكون لها علاقة بتصفية حسابات بين الجاني والضحية.وتم نقل جثة الهالك، الذي كان يعمل بمقاولة تشتغل في إنجاز الطرقات، إلى مستودع الأموات بالمركز الاستشفائي الجهوي بمدينة طنجة، وفتح تحقيق في القضية تحت إشراف الوكيل العام للملك لدى محكمة الاستئناف بالمدينة ذاتها.",faits-divers
