,id,title,date,author,story,topic
0,ad7f145a055c11ebbc5e646e69d991ea,3 أندية تشعل المنافسة على درع البطولة الوطنية,السبت 03 أكتوبر 2020 - 07:50,هسبورت - آمال لكعيدا,"رغم أن المستوى التقني العام لمباريات الدوري، منذ استئنافه بعد التوقف الاضطراري لأزيد من 3 أشهر بسبب تفشي ""كورونا""، يبقى متواضعاً بعد تأثر اللياقة البدنية للاعبين، فإن آخر الجولات تفي بوعودها على مستوى شراسة المنافسة على درع الدوري بين ثلاثي المقدمة، الأمر الذي برزت معه ملاحظات عامة رصدتها ""هسبورت"".ضغط رهيب على السلامي والسكتيوييوجد جمال السلامي، مدرب الرجاء، وطارق السكتيوي، مدرب نهضة بركان، تحت ضغط رهيب من قبل جماهير الفريقين، بعد تعادل الأول أمام مولودية وجدة، وخسارة الثاني أمام نهضة الزمامرة، ليفسحا المجال أمام الوداد، الفائز على أولمبيك آسفي في الجولة الماضية، ليكون المستفيد الأكبر من الدورة 27.وتنتقد فئة واسعة من جماهير الرجاء ردود الأفعال التكتيكية والاختيارات التقنية للمدرب السلامي، معتبرةً أن تعامله مع أطوار المباريات الأخيرة يبقى ""جباناً"" في الشق التكتيكي، الأمر الذي فرض على الفريق الاكتفاء بالتعادل أمام الوداد ومولودية وجدة، في وقت كان الفوز بنقاط المواجهتين ممكناً.هذا، ولم يشفع محيط نهضة بركان لطارق السكتيوي الخسارة أمام تشكيلة قوامها ""بدلاء"" نهضة زمامرة داخل قواعده، عكس كل التوقعات، لدرجة مناقشة إمكانية إقالته وعدم منحه فرصة استكمال المباريات الثلاث المتبقية في الدوري، قبل أن يتم تجديد الثقة فيه، خصوصاً أن الفريق، إلى جانب منافسته على درع البطولة، مقبل على مواجهة نصف نهائي كأس الكونفدرالية الإفريقية أمام حسنية أكادير.الوداد.. تركيبة لا تطمئن وإن فازتبقدر انتشاء أنصار الوداد بالفوز العريض، برباعية مقابل هدف، على ""العنيد"" أولمبيك آسفي في الجولة 27، بقدر ما تعترف مكونات الفريق ""الأحمر"" بأن تركيبته لا تطمئن، وإن حققت نتائج إيجابية .وتظهر في المباريات الأخيرة فجوات كبيرة بين خطوط الفريق، رغم التحسن النسبي في أدائه، فيما يظل خط الدفاع صداعاً في رأس مدرب الفريق، ميغيل غاموندي، الذي اضطر إلى الاعتماد على لاعبين في غير مراكزهم لتأمين الخط الخلفي، بفعل إصابة عدد من المدافعين، أبرزهم شيخ كومارا وأشرف داري، علماً أن المستوى الدفاعي لإبراهيم نجم الدين وحمزة أسرير يظل متذبذباً.ويعيش الوداد واحدة من فتراته الحرجة تقنياً، خصوصاً في ظل شح الخيارات، إذ رغم توفر الفريق على أسماء كثيرة، بعد انتداب أزيد من 10 لاعبين في ""الميركاتو"" الشتوي الماضي، فإن دكة البدلاء خلال المباريات تظل فارغة تقنياً من خيارات يمكن الزج بها في التبديلات لإحداث الفارق.",sport
1,ae3e012c055c11ebb26e646e69d991ea,لامبارد يؤكد غياب زياش مجددا عن نادي تشيلسي,السبت 03 أكتوبر 2020 - 02:30,هسبورت - حمزة اشتيوي,"أكد فرانك لامبارد، مدرب نادي تشيلسي الإنجليزي لكرة القدم، أن الدولي المغربي حكيم زياش سيغيب عن الفريق للمباراة السادسة على التوالي، بسبب عدم جاهزيته، بعد الإصابة التي تعرض لها في وقت سابق، إذ يُواصل ""النجم"" المغربي مرحلة التعافي.وسيغيب زياش عن ""كتيبة البلوز"" للمباراة الرسمية السادسة على التوالي، غير أن المدرب لامبارد أكد قرب عودته إلى تشكيلة الفريق، التي غاب عنها منذ انطلاقة منافسات الموسم الحالي من الدوري الإنجليزي، بعد أن أبعدته الإصابة التي تعرض لها على مستوى الركبة في أول ظهور له بقميص ""الأزرق"" في لقاء ودي.وقال لامبارد في تصريحات إعلامية قبل المواجهة المنتظرة أمام ضيفه كريستال بالاس، لحساب مباريات الجولة الرابعة من منافسات الدوري الإنجليزي: ""حكيم زياش يقترب من العودة لكنه مازال غير جاهز للعب"".وعبرت فئة من جماهير الفريق ""اللندني"" عن غضبها من استدعاء الناخب الوطني وحيد خاليلوزتيش للاعب حكيم زياش، إذ أكدت أن الوافد الجديد على ""ستامفورد بريدج"" يُعاني من الإصابة، ولا يجب المجازفة به مع منتخب بلاده.يُشار إلى الناخب الوطني وحيد خاليلوزيتش وجه الدعوة إلى حكيم زياش للحضور إلى المعسكر الإعدادي المقبل، للمشاركة في المباراتين الوديتين أمام السنغال والكونغو الديمقراطية، موردا: ""أنا وزياش من سيقرر مشاركته مع المنتخب وليس الطاقم التقني لتشيلسي"".",sport
2,af1ce6ec055c11eb9fcc646e69d991ea,"إعفاء البرتغالي ""أروزو"" من تدريب منتخب الشبان",الجمعة 02 أكتوبر 2020 - 20:20,هسبريس من الرباط,وافقت الإدارة التقنية التابعة للجامعة الملكية المغربية لكرة القدم على الطلب الذي تقدم به البرتغالي جواو أروزو، بإعفائه من تدريب المنتخب الوطني لأقل من 20، لأسباب شخصية.وأضافت الإدارة التقنية، في بلاغ لها، أن الجامعة الملكية المغربية لكرة القدم تتقدّم، بالمناسبة، بالشكر الجزيل لجواو أروزو، لما قدمه خلال فترة عمله، متمنية له التوفيق في مساره المهني.,sport
3,afffccd4055c11eb9d42646e69d991ea,"""فيفا"" يجري تعديلات على قواعد استدعاء اللاعبين",الجمعة 02 أكتوبر 2020 - 17:47,هسبريس - د.ب.أ,"أعلن الاتحاد الدولي لكرة القدم (فيفا) في وقت متأخر أمس الخميس أنه أجرى تعديلات على قواعد استدعاء اللاعبين لمنتخبات بلادهم في المباريات الدولية المقبلة، وذلك في ظل مخاوف الأندية بشأن إجراءات الحجر الصحي في ظل جائحة فيروس كورونا المستجد.ونشر الفيفا البروتوكول المفصل الذي يتعلق بالمباريات الدولية المقبلة، والتي تشمل المباريات الودية ومباريات في دوري أمم أوروبا وتصفيات كأس العالم.ويتضمن البروتوكول الجديد تطبيق اللوائح بالشكل المعتاد، باستثناء الحالات التي تشهد فترة حجر صحي أو عزل ذاتي، إلزامية لمدة خمسة أيام، على الأقل، في المكان الذي يقع به النادي أو لدى الوصول إلى المكان الذي تقام فيه المباراة الدولية.ويحق للأندية عدم السماح للاعبيها بالانضمام إلى قائمة المنتخب ""في حالة وجود قيود سفر إلى أو من موقع آخر"" أو ""في حالة عدم منح استثناء للاعبين من قبل السلطات المعنية.""وقبل المباريات الدولية التي جرت في شهر سبتمبر الماضي، خفف الفيفا من قواعد التزام الأندية بإرسال اللاعبين للمنتخبات، إذا كانت المنتخبات تلعب في دول تصنف كمناطق خطرة بالنسبة للإصابة بالفيروس.وكانت الأندية تأمل في أن يتخذ الفيفا قرارا مماثلا قبل المباريات الدولية المقبلة المقررة خلال أكتوبر الجاري، خاصة مع تزايد أعداد المصابين بالفيروس وتصنيف المزيد من الدول والمناطق كبؤر خطرة.وكان شتيفان رويتر، مدير الكرة بنادي أوغسبورغ الألماني، قال في تصريحات نشرتها مجلة ""كيكر"" أمس الخميس :""بالنسبة لي، أمر سخيف أن يتم إرسال اللاعبين للمناطق الخطرة. إنها مهمة الفيفا أن ينقل تلك المباريات أو يعمل على ضمان عدم إلزام اللاعبين بالخضوع للحجر الصحي بعد عودتهم"".وقال كريستيان شايفرت، المدير الإداري لرابطة الدوري الألماني، إنه كان يأمل في أن يكون الوضع مختلفا عند الحديث بشأن المباريات الدولية والجدول المزدحم للمباريات خلال هذا الموسم.وأضاف شايفرت: ""لدى الاتحادات الوطنية رعاة وشركاء يمثلون مصادر مهمة للدخل. خاصة بالنسبة للاتحادات الصغيرة في أوروبا"".",sport
4,b0e1a962055c11ebb4fd646e69d991ea,الجامعة الملكية للكراطي تقرر دعم جمعيات رياضية,الجمعة 02 أكتوبر 2020 - 01:41,ياسين أوشن,"قررت ""الجامعة الملكية المغربية للكراطي وأساليب مشتركة"" دعم الجمعيات المنضوية تحت لوائها، البالغ عددها أكثر من 1000 جمعية بمختلف ربوع وأقاليم المملكة، بمبلغ 1059000.00 درهم ضخ في حساب المدربين.ووفق بلاغ للجامعة توصلت به هسبريس، فإن ""هذا الدعم ورغم ما تمثله تكلفته الإجمالية على الجامعة، التي سبق لها المساهمة بشكل مباشر في صندوق تدبير جائحة كوفيد-19 بما قدره 100 مليون سنتيم، وكذا دعم الجمعيات بمبلغ 1533600.00، إلا أنه يتطلب تدخلا موازيا للجهات الوصية، على اعتبار جسامة التحديات التي أفرزها طول مدة توقف المدربين عن العمل داخل الجمعيات، على أمل إيجاد حلول مستعجلة، وبالتالي استمرار تأديتهم لوظيفتهم النبيلة في المجتمع بعد انقشاع غيوم هذه الأزمة الصحية"".تجدر الإشارة إلى أن هذا الدعم جاء، حسب الوثيقة عينها، في ظل انعكاسات استمرارية إغلاق الجمعيات الرياضية، إثر حالة الطوارئ التي فرضتها الظرفية الراهنة، وسعيا من الجامعة نفسها للتخفيف من هذه الآثار السلبية على دخل مدربي هذه الجمعيات، الذي هو بالأساس دخل مئات الأسر المغربية.",sport
5,b1c552ac055c11eb8c48646e69d991ea,"خاليلوزيتش يبرر استبعاد ""حمد الله"" من المنتخب",الخميس 01 أكتوبر 2020 - 23:36,هسبورت - حمزة اشتيوي,"أوضح وحيد خاليلوزيتش، مدرب المنتخب الوطني المغربي الأول لكرة القدم، السبب الحقيقي وراء عدم استدعائه مرة أخرى للاعب عبد الرزاق حمد الله، مهاجم نادي النصر السعودي، للمباراتين الوديتين للعناصر الوطنية أمام كل من السنغال والكونغو الديمقراطية شهر أكتوبر الجاري.وأثار الناخب الوطني ضجة ""كبيرة"" على مواقع التواصل الاجتماعي بعرضه نسخة من ""منشور"" سابق للمهاجم عبد الرزاق حمد الله على حسابه الشخصي على ""انستغرام""، خلال الندوة الصحافية التي عقدها اليوم في الرباط، للكشف عن اللائحة المستدعاة.وردا من خاليلوزيتش عن سؤال متعلق بغياب حمد الله عن اللائحة التي ستواجه السنغال والكونغو الديمقراطية، رغم تألقه الكبير بقميص النصر والإشادة الكبيرة التي يتلقاها من الصحافة السعودية والآسيوية، فاجأ الناخب الوطني الجميع بعرضه لـ""سكرينشوت"" يتضمن تغريدة لحمد الله أعلن من خلالها اعتزاله اللعب دوليا.وأوضح خاليلوزيتش أن حمد الله رفض الدعوة التي تلقاها منه شخصيا عبر اتصال هاتفي، مبررا ذلك برغبته في التركيز مع فريقه النصر السعودي، حسب تصريح الناخب الوطني.يشار إلى أن وحيد خاليلوزيتش كشف، اليوم الخميس، عن اللائحة المستدعاة للمشاركة في وديتي السنغال والكونغو الديموقراطية المقررتين في التاسع والثالث عشر من أكتوبر الجاري.",sport
6,b2acd478055c11ebab0d646e69d991ea,"""الفيروس"" يصيب خمسة لاعبين من حسنية أكادير",الخميس 01 أكتوبر 2020 - 21:30,هسبورت - سعيد إبراهيم الحاج,"مساء اليوم الخميس، تأكدت إصابة 5 إصابات في صفوف اللاعبين و4 إصابات في الطاقمين التقني والطبي من صفوف فريق حسنية أكادير لكرة القدم بفيروس ""كورونا""، بعد إجراء مسحة طبية مباشرة بعد العودة من مدينة الجديدة، حيث خاض الفريق ""السوسي"" مباراة عن الجولة الـ 27 من منافسات الدوري.وعلمت ""هسبورت"" من مصدر موثوق من داخل إدارة فريق حسنية أكادير أن 5 لاعبين جاءت نتائج اختباراتهم إيجابية، وقد فرض عليهم الحجر الصحي وتتبع ""البروتوكول"" العلاجي، الشيء الذي سيبعثر أوراق المدرب مصطفى أوشريف في باقي المباريات، وأولاها مباراة الوداد الرياضي الأحد المقبل.وأضاف مصدر ""هسبورت"" أن العدد مرشح للارتفاع في الساعات القليلة المقبلة، حيث لم تظهر بعد نتائج بعض اللاعبين وأعضاء من أطقم الفريق، خصوصا أنهم خالطوا كثيرا اللاعبين المصابين في الفترة الأخيرة.وكان فريق حسنية أكادير حافظ على خلو بيته من ""الفيروس"" طيلة الأشهر الماضية، بفعل الاحترازات المتخذة من طرف إدارة النادي وصرامتها، قبل أن تتأكد مساء الخميس إصابة العديد من اللاعبين.",sport
7,b3a1a780055c11eb868f646e69d991ea,"خاليلوزيتش يكشف ""التشكيلة"" ويرفض ""مساومة مزدوجي الجنسية""",الخميس 01 أكتوبر 2020 - 20:00,هسبورت - حمزة اشتيوي,"تحدث وحيد خاليلوزيتش، مدرب المنتخب المغربي الأول لكرة القدم، خلال الندوة الصحافية التي عقدها اليوم الخميس بالرباط، عن مجموعة من النقاط التي تخص ""أسود الأطلس""، وكذلك السبب الرئيسي وراء استدعاء بعض الأسماء واستبعاد أخرى، وكل ما يتعلق بجديد المنتخب الأول.وأوضح مدرب ""الأسود"" أن الطاقم التقني للمنتخب لم يتوقف عن العمل خلال الفترة الماضية، رغم الظروف الصعبة التي عاشها العالم بسبب تفشي وباء ""كورونا""، مؤكدا أنه ظل على اتصال مستمر مع مساعديه لمتابعة أوضاع جميع اللاعبين مع فرقهم للوقوف على كل صغيرة وكبيرة في هذا الظرف الصعب.وشرح خاليلوزيتش سبب اختياره مواجهة كل من السنغال والكونغو الديمقراطية وديا خلال أكتوبر الجاري، مبرزا أن مواجهة منتخب من حجم ""أسود التيرانغا"" يعتبر أمرا مهما للعناصر الوطنية، بالنظر إلى قيمة هذا المنتخب على المستوى الإفريقي، بالإضافة إلى الأسماء الكبيرة التي يضمها بين صفوفه، على رأسها ساديو ماني، ""كما أن اختيار منتخب الكونغو الديمقراطية، خصم المنتخب الوطني في الودية الثانية، جاء بناء على قوة وشراسة هذا المنتخب وحضوره الوازن في المنافسات الإفريقية""، يضيف مدرب ""الأسود"".وتحدث الناخب الوطني بصراحة كبيرة حول موضوع اللاعبين ذوي الجنسية المزدوجة، مؤكدا أنه لن يقبل بالمساومة داخل المنتخب، في إشارة إلى اللاعبين الذين يحاولون الضغط عبر محيطهم أو وكلائهم من أجل الدفاع عن قميص المنتخب المغربي، مبرزا أنه تحدث مع رئيس الجامعة فوزي لقجع من أجل وضع حد لذلك.وقال خاليلوزيتش إن ""المنتخب الوطني ليس بحاجة إلى أي لاعب يفرض شروطه علينا، والباب يبقى مفتوحا في وجه كل لاعب يفتخر بقميصه ويرغب في الدفاع عن الألوان الوطنية بكل جدية، ويجب أن يكون أداؤه في المستوى العالي"".وفاجأ خاليلوزيتش الجميع بكتاب سري كشف عنه خلال الندوة الصحافية، موردا أنه سيضعه رهن إشارة لاعبي المنتخب المغربي من أجل التعرف على مجموعة من الأشياء تهم حضور اللاعبين داخل المعسكرات التي تخص ""الأسود""، مشددا على أن هذا الكتاب سيكون ممنوعا على أي فرد خارج الطاقم التقني ولاعبي المنتخب، مبرزا أن إعداده كلفه وقتا كبيرا.وكشف الناخب الوطني، خلال هذه الندوة، عن اللائحة المستدعاة للمشاركة في المباراتين الوديتين للمنتخب الوطني أمام كل من منتخبي السنغال والكونغو الديمقراطية شهر أكتوبر الجاري، التي تضمنت سبعة أسماء جديدة ستُسجل حضورها لأول مرة بقميص المنتخب المغربي، بينها منير الحدادي الذي استفاد من القرار الجديد للاتحاد الدولي بعد أن لعب دقائق معدودة بقميص منتخب إسبانيا.وبالإضافة إلى الحدادي، سينضم إلى ""الأسود"" لأول مرة بكل من سفيان شاكلة وسامي ماي ونسيم بوجلاب وادريس الصديقي وأيمن برقوق وموحا غرس الله، في حين تواصل غياب مهاجم النصر السعودي اللاعب عبد الرزاق حمد الله، الذي أكد الناخب الوطني أنه هو من رفض تلبية الدعوة بعد أن اتصل به شخصيا.كما وجه المدرب البوسني الدعوة إلى اللاعب حكيم زياش، صانع ألعاب نادي تشيلسي الإنجليزي، رغم غيابه عن ""البلوز"" خلال الفترة الأخيرة بسبب الإصابة التي تعرض لها في أول لقاء ودي له بقميص الفريق ""اللندني"". وأكد خاليلوزيتش أن زياش سيكون حاضرا رفقة العناصر الوطنية بالرباط، وأن هما معا من سيُحدد مشاركته من عدمها في المباراتين الوديتين المقبلتين، وليس الطاقم التقني لتشلسي بقيادة فرانك لامبارد.ولم يُشارك زياش في المباريات الرسمية الخمس الأخيرة لفريقه منذ انطلاق الموسم الكروي الجديد، لكن من المرجح أن يعود إلى الميادين مع نهاية الأسبوع الجاري، بعد أن انضم إلى التداريب الجماعية لفريقه.وفيما يلي لائحة ""الأسود"" المستدعاة:حراسة المرمى: ياسين بونو حارس مرمى نادي إشبيلية الإسباني، ومنير المحمدي المنتقل حديثا إلى هاتاي سبور التركي.خط الدفاع: نصير مزراوي ""أياكس الهولندي""، وعصام شباك ""ملطية سبور التركي""، وحمزة منديل ""شالكه الألماني""، ونبيل درار ""فنربخشة التركي، وسفيان شكلة ""فياريال الإسباني""، وسامي ماي ""سان تروند البلجيكي""، ورومان سايس ""فولفرهامبتن الإنجليزي، وزهير فضال ""سبورتينغ لشبونة البرتغالي""، ونايف أغرد ""رين الفرنسي.خط الوسط: عمر القادور ""باوك اليوناني""، والوافد الجديد ادريس الصديقي ""فيليم 2 الهولندي""، وسفيان أمرابط ""فيورنتينا الإيطالي""، ونسيم بوجلاب ""شالكه الألماني""، وأيمن برقوق ""إينتراخت فرانكفورت الألماني""، وحكيم زياش ""تشيلسي الإنجليزي""، وسليم أملاح ""سطاندار دولييج البلجيكي""، وأسامة طنان ""فيتاس الهولندي.الهجوم: يوسف العربي ""أولمبياكوس اليوناني""، ويوسف النصيري ""إشبيلية الإسباني""، وأشرف بنشرقي ""الزمالك المصري""، وأشرف حكيمي ""إنتر الإيطالي""، وموحى غارسالا ""براتيسلافا السلوفاكي""، ومنير الحدادي ""إشبيلية الإسباني""، وزكرياء لبيض ""أياكس الهولندي"".يشار إلى أن المباراة الودية الأولى أمام السنغال ستجرى يوم الـ9 أكتوبر الجاري، فيما يلعب اللقاء الثاني أمام الكونغو الديمقراطية يوم الـ 13 من الشهر ذاته، على أرضية ملعب الأمير مولاي عبد الله بالرباط.",sport
8,b4f5f76c055c11ebaf7b646e69d991ea,"""كيفن دي بروين"" أفضل لاعب وسط في أوروبا",الخميس 01 أكتوبر 2020 - 18:03,هسبريس ـ متابعة,توج البلجيكي الدولي كيفن دي بروين، صانع ألعاب مانشستر سيتي الإنجليزي، بجائزة أفضل لاعب خط وسط في بطولة دوري أبطال أوروبا لكرة القدم خلال الموسم الماضي 2019 / 2020.وأعلن الاتحاد الأوروبي لكرة القدم (يويفا) عن فوز اللاعب بالجائزة، الخميس، خلال حفل مراسم إجراء قرعة دور المجموعات لدوري أبطال أوروبا للموسم الجديد 2020 / 2021 وذلك بمدينة جنيف السويسرية.وتفوق دي بروين على كل من توماس مولر والإسباني تياغو ألكانتارا، نجمي بايرن ميونخ، اللذين وصلا معه للقائمة النهائية للمرشحين.,sport
9,b5f0687a055c11eb9485646e69d991ea,ليفاندوفسكي أفضل لاعب في أوروبا لهذا العام,الخميس 01 أكتوبر 2020 - 17:59,هسبريس - د .ب .أ,توج البولندي الدولي روبرت ليفاندوفسكي اليوم الخميس بجائزة أفضل لاعب كرة قدم في أوروبا خلال الموسم الماضي 2019 / 2020 .وأعلن الاتحاد الأوروبي لكرة القدم (يويفا) عن فوز اللاعب بالجائزة اليوم الخميس خلال حفل مراسم إجراء قرعة دور المجموعات لدوري أبطال أوروبا للموسم الجديد 2020 / 2021 وذلك بمدينة جنيف السويسرية.وتفوق ليفاندوفسكي على كل من البلجيكي الدولي كيفن دي بروين صانع ألعاب مانشستر سيتي الإنجليزي ومانويل نوير حارس مرمى بايرن ميونخ الألماني واللذين وصلا معه للقائمة النهائية للمرشحين.وجاء وصول اللاعبين الثلاثة للقائمة النهائية للمرشحين بعد إنجازاتهم في الموسم الماضي.وتصدر دي بروين قائمة أكثر اللاعبين صناعة للأهداف حيث عادل الرقم القياسي لهذا في الدوري الإنجليزي بصناعة 20 هدفا بخلاف تسجيله 13 هدفا لفريقه مانشستر سيتي الذي احتل المركز الثاني في الدوري الإنجليزي خلف ليفربول.وسجل روبرت ليفاندوفسكي 55 هدفا في 47 مباراة خاضها مع بايرن ميونخ في مختلف البطولات وساهم بقدر هائل في فوز الفريق بالثلاثية (دوري وكأس ألمانيا ودوري أبطال أوروبا) كما تصدر قائمة هدافي دوري الأبطال في الموسم الماضي برصيد 15 هدفا.ولم يغب مانويل نوير حارس مرمى بايرن ميونخ إلا عن مباراة واحدة من المباريات التي خاضها الفريق في طريقه للفوز بالثلاثية (دوري وكأس ألمانيا ودوري أبطال أوروبا) كما حافظ نوير على نظافة شباكه في ستة من المباريات الـ11 التي خاضها الفريق في طريقه للتتويج بلقب دوري الأبطال الأوروبي.وتقدم الجائزة للاعب الأفضل أداء على مدار الموسم المنتهي بأكمله سواء خلال مسيرته مع ناديه أو منتخب بلاده.وتحسم اختيارات القائمة النهائية لجنة تحكيم مشكلة من 80 مدربا هم المديرين الفنيين لجميع الفرق الـ32 المتأهلة لدور المجموعات في الموسم المنتهي وجميع الفرق الـ48 المشاركة في مسابقة الدوري الأوروبي لنفس الموسم كما تضم لجنة التحكيم 55 صحفيا وناقدا رياضيا يتم اختيارهم بواقع ناقد رياضي واحد من كل دولة من الدول التي تحظى اتحاداتها الكروية بعضوية اليويفا.ويقدم كل عضو من الـ135 عضوا بلجنة التحكيم ثلاثة خيارات بحيث يحصل اللاعب في الخيار الأول على خمس نقاط وفي الثاني على ثلاث نقاط وفي الثالث على نقطة واحدة مع مراعاة عدم اختيار المدرب لأي لاعب من فريقه.وطبقا للنقاط التي يحصل عليها كل لاعب يتم تحديد الترتيب النهائي واختيار أفضل ثلاثة لاعبين ليكونوا في القائمة النهائية للمنافسة على الجائزة.,sport
